category,product_name,product_slug,city,store,quantity,price
TV,Телевизор LG LED 32LQ630B6LA HD SMART,televizor-lg-led-32lq630b6la-hd-smart,Отеген Батыр,"ул. Жансугурова, 100А",3,164990
TV,Телевизор LG LED 43LM5772PLA FHD SMART,televizor-lg-led-43lm5772pla-fhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",3,219990
TV,Телевизор LED SAMSUNG UE 43 T 5300 (SMART.Wi-Fi),televizor-led-samsung-ue-43-t-5300-smartwi-fi,Отеген Батыр,"ул. Жансугурова, 100А",4,184990
TV,Телевизор LED SAMSUNG UE32T5300AUXCE FullHD SMART,televizor-led-samsung-ue32t5300auxce,Отеген Батыр,"ул. Жансугурова, 100А",3,144990
TV,Телевизор LED SAMSUNG UE32T4500AUXCE,televizor-led-samsung-ue32t4500auxce,Отеген Батыр,"ул. Жансугурова, 100А",3,129990
TV,Телевизор LG LED 43UT80006LA UHD SMART,televizor-lg-led-43ut80006la-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",4,264990
TV,Телевизор LED ARTEL UA32H3200 HD SMART (KZ),televizor-led-artel-ua32h3200-hd-smart-kz,Отеген Батыр,"ул. Жансугурова, 100А",2,104990
TV,Телевизор LED TCL 43V6B UHD Android TV,televizor-led-tcl-43v6b-uhd-android-tv,Отеген Батыр,"ул. Жансугурова, 100А",2,164990
TV,Телевизор SAMSUNG LED UE43DU7100UXCE UHD SMART,televizor-samsung-led-ue43du7100uxce-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",3,239990
TV,Телевизор LED TCL 32S5400 Android TV,televizor-led-tcl-32s5400-android-tv,Отеген Батыр,"ул. Жансугурова, 100А",1,114990
TV,Телевизор LG LED 50UT80006LA UHD SMART,televizor-lg-led-50ut80006la-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",2,314990
TV,Телевизор LG LED 65UT80006LA UHD SMART,televizor-lg-led-65ut80006la-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",1,519990
TV,Телевизор SAMSUNG LED UE55DU7100UXCE UHD SMART,televizor-samsung-led-ue55du7100uxce-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",3,359990
TV,Телевизор SAMSUNG LED UE55DU8000UXCE UHD SMART,televizor-samsung-led-ue55du8000uxce-uhd-smart,Отеген Батыр,"ул. Жансугурова, 100А",3,409990
